annotation_approver,created_at,id,label,text,updated_at,user
,2020-09-23T07:13:25.105146Z,1,3,"Need to add a restriction so that outer query's filters are in effect for the subquery, too.",2020-09-23T07:13:25.105163Z,3
,2020-09-19T19:12:16.641317Z,2,2,"build directly off the shadowed sources, the build count should be 0.1",2020-09-19T19:12:16.641334Z,1
,2020-09-19T19:12:18.482527Z,3,3,Generate the tracer,2020-09-19T19:12:18.482542Z,1
,2020-09-19T19:12:19.877534Z,4,3,match order,2020-09-19T19:12:19.877553Z,1
,2020-09-19T19:12:21.660857Z,5,2,"The volumes will be defined on the map as well as in the grains. Those in the map are used by salt-cloud to create and attach the volumes (using the snapshot), whereas those on the grains are available for states and modules to play with (e.g., to mount the devices)",2020-09-19T19:12:21.660873Z,1
,2020-09-19T19:12:27.934702Z,6,2,"the bid LOB is empty now but was not previously, so must have been hit",2020-09-19T19:12:27.934719Z,1
,2020-09-19T19:12:29.422280Z,7,3,Keep track of the examples we've run.,2020-09-19T19:12:29.422296Z,1
,2020-09-19T19:12:31.033005Z,8,2,"Old, pre-Optik 1.5 behaviour.",2020-09-19T19:12:31.033020Z,1
,2020-09-19T19:12:32.062203Z,9,2,EN DASH,2020-09-19T19:12:32.062218Z,1
,2020-09-19T19:12:34.434110Z,10,3,"Either a local field filter, or no fields at all.",2020-09-19T19:12:34.434126Z,1
,2020-09-19T19:12:36.680394Z,11,2,Handle the constructor fields that have been defined in the class docstring. This code assumes that a class docstring is parsed before the same class __init__ docstring.,2020-09-19T19:12:36.680411Z,1
,2020-09-19T19:12:42.713718Z,12,3,"Test getting an item & updating it. This is the ""safe"" variant (only write if there have been no changes).",2020-09-19T19:12:42.713739Z,1
,2020-09-19T19:12:44.164352Z,13,3,Concatenate arrays,2020-09-19T19:12:44.164370Z,1
,2020-09-19T19:12:46.278699Z,14,3,Not a field. Bail out.,2020-09-19T19:12:46.278714Z,1
,2020-09-19T19:12:47.280589Z,15,2,setAnnotationYShift setAnnotationYShift,2020-09-19T19:12:47.280606Z,1
,2020-09-19T19:12:54.407782Z,16,2,Connected frame,2020-09-19T19:12:54.407798Z,1
